CD4+ Tn	CD4+ blood-Tcm	CD4+ Temra	CD4+ tissue-Tcm	CD4+ Trm	CD4+ Th17	CD4+ activated T	CD4+ Tfh	CD4+ Treg
IRF6	0.113820629101564	0.103224726313421	0.0193682173662283	0.113688531843351	0.264226286919691	0.0554325994746746	0.124677547487039	0.0700283641910125	0.15987008657673
IRF7	0.175513662818825	0.167521450710087	0.0317529491637268	0.106856947378972	0.263435171717207	0.0578022703660825	0.153919431625791	0.0853977763266407	0.16253309738049
IRF8	0.167384862504897	0.163288788411299	0.030072968868765	0.107467446686862	0.25802619686624	0.0543153779071501	0.145717534633917	0.0993581368235399	0.172544439593801
IRF9	0.175688085297286	0.17359613498832	0.0316616016247793	0.104325679422715	0.268145342275446	0.0573921176684759	0.147523777517126	0.0808378951654662	0.163722505627244
JDP2	0.102060051453533	0.112730008033012	0.0252995800069389	0.0922329623750012	0.274511598981465	0.0461523131410847	0.129806960218547	0.0623738517335922	0.124199729276055
JUN	0.177256897908056	0.166576329982242	0.0284151303416715	0.106936163330367	0.280192088234821	0.0534160217976126	0.153181353125057	0.0778716691348329	0.154109595049413
JUNB	0.179640100534177	0.168002290076623	0.0286302073144428	0.109649871442821	0.268967459796117	0.0519978552279592	0.155890450174238	0.082679229002614	0.156677330009566
JUND	0.172280824546813	0.165093633497339	0.0286624914513275	0.113243957415584	0.282852732911833	0.0535458191183886	0.148363628693776	0.0797916222207352	0.155671811010876
KDM4B	0.113386580919035	0.117933326192221	0.0288714852923718	0.0506582817827624	0.113470305497089	0.0358638040324704	0.0752288262222974	0.0383179131890616	0.106893706371936
KDM4D	0.0659564784906836	0.0629619878375881	0.015398652876342	0.0418980297655321	0.0762779549419386	0.0144121461663159	0.0748810941220361	0.0319542770070822	0.0568899450722199
KDM5A	0.188463960128074	0.175452403076722	0.0291219950528924	0.109591595637839	0.253675279195144	0.0502867852103538	0.154299093561163	0.0819213699028613	0.155748982071453
