IgA plasma	IgG plasma	IgA+IgG+ plasma	IgA-IgG- plasma	Pro-B	Naive B	Memory B	GC B	Cycling GC B	Cycling plasma
EP300	0.120080426754558	0.0472209359880137	0.0126452330087331	0.0201550716492099	0.00764450311715947	0.305170669661318	0.267861347995395	0.0609101854061805	0.0234618913568342	0.00165664307680546
ERG	0.155224550319288	0.0537235780366517	0.0143024442624776	0.0218213037082307	0.020278875515389	0.358424087516998	0.246107322659214	0.0985183038426124	0.0645715233112341	0.00452118073541419
ESR2	0.126477359041673	0.0434668374876567	0.024988125019531	0.0307871455203853	0.000296331876399214	0.0232179051939415	0.0587267040535328	0.0107126986736872	0.00269881637715286	0.00136294155082939
ESRRA	0.281910775768298	0.0729434862017605	0.026828962224103	0.032976803113714	0.00516455729553755	0.289089679417413	0.244539707488853	0.0724496049777659	0.0632845178960539	0.0111237358206364
ETS1	0.183947058838019	0.0543392596853211	0.0171973125815729	0.0233655864693848	0.0067987693196212	0.367437851873459	0.281653198152776	0.0908888970515969	0.0580160759162482	0.00514262508724717
ETS2	0.160692421641887	0.0485767338800672	0.0153011581439172	0.0200309503386956	0.0142621877287328	0.35309251823001	0.251761759467984	0.0969926400944788	0.0662407602526587	0.00629129647412263
ETV2	0.260915867945295	0.0864296042291522	0.0353542392239236	0.0371024056470755	0.00441540411432917	0.175975294791696	0.166399197425459	0.0306859034419289	0.0189563054866063	0.00437742483858861
ETV4	0.0571079386377231	0.0190512761586832	0.0066404450753117	0.0103484649083583	0.0103761359969273	0.129883904306037	0.139040169089518	0.0335228828434011	0.0202711829626079	0.0017888522929943
ETV5	0.185658080655398	0.0672840009304345	0.0226048262636466	0.0267142880145445	0.00473917443884797	0.287854603169756	0.231579079496595	0.0797791959977263	0.0496407065992486	0.00441535246335933
ETV6	0.253035670527205	0.0761941821662568	0.0223813671110252	0.0315641091802753	0.00571850126730489	0.327687226285548	0.266310184340639	0.0664394484883676	0.0422410977415096	0.0063300493319397
ETV7	0.271525397057049	0.0972079028516208	0.0269762619866506	0.0344207656670058	0.00518131817195677	0.285898301769853	0.240444910487875	0.0579858741950329	0.0318486932963546	0.00631128983443696
FLI1	0.215586093708776	0.0616239050205921	0.0182720877729206	0.0258317600397419	0.00619633136576836	0.35107067717483	0.271728159282029	0.0862255822921489	0.0587709426335796	0.0061684974769044
FOS	0.336785804839323	0.0958572196776322	0.0285358825258453	0.0392598875213691	0.00476637627668119	0.269045481486203	0.225992558105785	0.0585517839896883	0.0426769670142064	0.00925970639491858
FOSB	0.321032555353032	0.0914067490853585	0.0282644597332352	0.0380076767445102	0.0049435017816859	0.274004309742236	0.237583033267484	0.0614736398337343	0.0456410608016752	0.00839673596925194
FOSL1	0.343053122441047	0.0950755382002435	0.0296647752623544	0.0407457007508047	0.00437276211143089	0.251279157655843	0.225173945253389	0.051643188942525	0.0342759752651153	0.00694402468267252
FOSL2	0.274560210403049	0.080497465455412	0.0251476391057408	0.0336728332592864	0.00454617903051868	0.309519175654818	0.261670267389663	0.0562477690835542	0.0346889511820886	0.00599014086295879
FOXC1	0.0852874864903522	0.0332420610611052	0.0151691885312469	0.0177038496952623	0.00709532966228754	0.166631023951814	0.165632094916188	0.0556940702419365	0.0276931641843434	0.00198474428355899
FOXF1	0.159612233731361	0.0540748883095306	0.0189487172355292	0.0226783397379302	0.00496465871836183	0.232001077098097	0.211219772374872	0.0436614322270266	0.0203607672144287	0.00526564633031179
FOXJ1	0.312917005867497	0.0850938662836813	0.0293726653937183	0.0389717876342615	0.00516551422756328	0.252983422754588	0.22310815979343	0.049244331275042	0.0400570788651995	0.00701766748460453
FOXJ2	0.0990669238834149	0.0463492831297017	0.0426125905673096	0.0281858441278361	0.004105238429715	0.0261137337677529	0.0455625412094237	0.0072640673969544	0.00352352015970847	0.00096564954820777
FOXJ3	0.139126136432463	0.0462145889488483	0.022538663878128	0.0213206121291166	0.00673897134894197	0.281129243681448	0.220536980904191	0.0537943502194472	0.0252819184921945	0.000965374395505147
FOXK1	0.0141422600397062	0.00750923690547067	0.00374909791029931	0.00607458588354981	0.00478041983582056	0.0239139151399094	0.0150175565775832	0.00430828007016471	0.00227730043243102	0.000777087636137708
FOXM1	0.121720330625194	0.0461784986568887	0.0322776705640717	0.0198486406472892	0.0025848234714706	0.167632693930471	0.137828765187779	0.0274785140267494	0.130093791222789	0.0129854082121491
FOXN2	0.0825571223249274	0.0324111846761377	0.00883696667913569	0.012274309356294	0.00325602802438696	0.345453024170414	0.307452052883604	0.0746665236879657	0.0413418762693849	0.00150103078872799
FOXN3	0.167356947101131	0.0556017228329474	0.0176341842542006	0.0249856950740138	0.00654969674206551	0.330806569503692	0.207171742110515	0.11074443464891	0.0705098935250208	0.00522815924393638
FOXO1	0.0185118816545962	0.0126321058977451	0.00434773090662144	0.00488730612736998	0.00764086790938967	0.0974791381121745	0.04362701898753	0.03118168219165	0.0146295053433168	0.000621046139316128
FOXO3	0.351314904087812	0.107637613739883	0.030629040720249	0.0432509725816985	0.00488484505092091	0.25492616761619	0.219596766396875	0.0439062843956164	0.0246943671554298	0.00644577754187603
FOXO4	0.273538530115536	0.0851135173551593	0.0253285613595077	0.0356921242295571	0.00556538321738242	0.284718788379114	0.235825517929812	0.0473940147032521	0.0217159291128687	0.00434878835740893
FOXP1	0.16670224743056	0.0485877778216682	0.0143526696615575	0.020760306810983	0.0077085148511391	0.394780002976045	0.274553242376965	0.0873287659793787	0.0522268660740639	0.00328438498146078
FOXP2	0.266273926572929	0.0750989189026156	0.02784401866883	0.0365413303524975	0.00454521444190881	0.194557225661983	0.196527478654823	0.0465254042067488	0.0191378996206073	0.00258847939326234
FOXP3	0.0593514803909148	0.0259419070567333	0.00874669901295921	0.0146426187685413	0.00517503681815978	0.165633501240085	0.100291741872373	0.023490800418499	0.00767543919381553	0.000821051567853726
FOXP4	0.156422765809629	0.0470101628827403	0.0316763804161261	0.0220823460076639	0.00477381974667423	0.0676714390776535	0.12661976229195	0.0170910056563335	0.0115206048070684	0.0024133087673448
GABPA	0.270191820748262	0.0832749508531239	0.0257902930737354	0.0343664499064615	0.00454510253943308	0.287290163432121	0.240761673161347	0.0674059624315031	0.0353034309086304	0.00495964476121558
GABPB1	0.283333559297108	0.0805893661101312	0.0255978234538217	0.0342810364775114	0.00526843411830347	0.297525631579105	0.251247208617259	0.072123770116895	0.0569851226981374	0.00911794058791271
GATA1	0.139970399673809	0.0465679933173114	0.0143822083397379	0.0207045112280975	0.00773430051519242	0.286440027031424	0.221836307835479	0.0478430135152119	0.0218390974170303	0.00145035371487934
GATA2	0.266349800965079	0.0790111592961449	0.0250725610088878	0.0333603138064487	0.00643467472795634	0.303785905271734	0.248084673286392	0.0634489253170831	0.046648635632216	0.00696430479207344
GFI1	0.125413370374567	0.0604014781786079	0.0201949234233804	0.028518123262256	0.00509465618288996	0.125952655174795	0.118289991195873	0.0265677481812185	0.0105530499421591	0.00436354597092359
GFI1B	0.0234378749794361	0.00771846728643588	0.00473842259242729	0.00673926403174252	0.0390134426588269	0.0803553192258243	0.0212899962586146	0.0104006471267934	0.0141012882369037	0.00165632149884154
GLIS3	0.147495988552309	0.0522142897474512	0.01776336987714	0.0243450993050487	0.00807342975098913	0.25765865699856	0.232717504658745	0.0636974343734532	0.0352764370109823	0.00337523693634278
GRHL1	0.223676551868346	0.0924549241855679	0.0279895359525386	0.0353527161454786	0.00272279718904345	0.23809918401139	0.169204676119385	0.0196562177332265	0.00923100404714339	0.00549792410566419
GTF2B	0.26087377175355	0.0741637736280257	0.0224287180768804	0.0310188789771935	0.00543458608948177	0.318481917013699	0.257655813386598	0.0717660698614858	0.0532812264501857	0.0069170389356864
HDAC2	0.255754655592782	0.0707655131415531	0.022133519018161	0.0303122077069088	0.00712536161845312	0.315338178320161	0.255179509426574	0.0791772363298098	0.0702819267761009	0.00986929303362383
HES1	0.056257433020966	0.0343884310224026	0.0143460914077128	0.0142706694371226	0.00258122825184948	0.0964116226889667	0.0705637413234141	0.0251568986797714	0.0105415665582943	0.00211302592392715
HES4	0.030685877082405	0.0247127465791939	0.00842437020552034	0.00817372305045461	0.00622524032394378	0.0948136734841039	0.0654873616933697	0.0207115098228803	0.00721389432174036	0.00214047006298568
HES5	0.111220462649807	0.0466188929173618	0.0176668280693975	0.0240490078111903	0.00574777153844586	0.122833173866813	0.0896066786426533	0.0257779324887311	0.0106486531999385	0.00304781885870686
HESX1	0.104825331501279	0.0385289029133393	0.0289243738901643	0.0169130193058307	0.00161458292339667	0.180354266708229	0.151531353738722	0.0331204704298483	0.0191337905996587	0.00101321603190596
HIC1	0.116801047115636	0.0366579956201594	0.0140861109839102	0.0183646897384577	0.00590803313150567	0.22857269959037	0.297004702758408	0.0446348034518849	0.0189924660569163	0.00379629076772714
HIVEP1	0.282009324277244	0.084973730050143	0.0274914350304837	0.037207830421813	0.00506271832615002	0.277509252038755	0.257714006915649	0.060236528515658	0.0331950213840413	0.00519176579269487
HLTF	0.120584215232951	0.0502280431546124	0.0395722212869717	0.0219477637861015	0.00219633360321869	0.144638078296797	0.122282694543253	0.0244170644162859	0.0186904565914713	0.000815412286623851
HMBOX1	0.117480403336991	0.0454358195571818	0.0214203471608251	0.0208569735384625	0.00554970870635207	0.198702462575931	0.160726570761753	0.0379801191454303	0.0179300278242041	0.00175758242445789
HMGA1	0.228489653665125	0.063166638616076	0.0192641913595293	0.0264409125583206	0.00575948418832539	0.317795723485776	0.25301651743417	0.105774130674394	0.0865230638285436	0.0100035372442336
HMGB3	0.193695455611601	0.0605042551463204	0.0156127094086904	0.024649614182084	0.00820780647904129	0.282134340457669	0.205936877055099	0.110426232535288	0.128901452362095	0.0171166107145383
HNF4A	0.165732708224969	0.056791888117587	0.0298722436058275	0.0264631745485001	0.00519712996988186	0.184528531899919	0.158889858358222	0.0418327293765168	0.0210402012442499	0.002177343551238
HOXA10	0.184010634044644	0.0613077767888931	0.0334727082687849	0.0274279352467144	0.0046161289329737	0.184852711499666	0.173821114503241	0.0493770757157413	0.023760163374077	0.00193603509404228
HOXA3	0.0156335654494657	0.0150992899871581	0.00595265587618043	0.00824937240011048	0.000963305984624241	0.000952242385260038	0.00130311842998121	0.00574350684895475	0.0017352026592411	0
HOXA5	0.164258237661496	0.055982288044308	0.0249691438739926	0.0227898782980474	0.00458299066489609	0.19905975641297	0.1982399736221	0.0509525499096839	0.0168183040540454	0.00233233959085288
HOXA7	0.0480884650243473	0.0314235291186254	0.0190727710635423	0.0160008911768739	0.00183445749574096	0.00568232676335256	0.0117875705711432	0.0219184131927969	0.00929163295306579	0.00023674756983616
HOXA9	0.188864641183718	0.0950693746571928	0.0307952494933307	0.032837081010732	0.022988346122274	0.146777470653765	0.112411770517693	0.0316689362608887	0.0140170493105526	0.00160390261129284
HOXB2	0.256725368788443	0.112817979957761	0.0324069844693713	0.0400243338092067	0.00486163529546979	0.219964305319085	0.145842864422803	0.0419857193583576	0.0237378710715349	0.00754577856700567
HOXB3	0.153765484319369	0.0586343557176007	0.0262068777450718	0.0233971418769439	0.00578631557328846	0.138272186745238	0.2191652612134	0.0443589264128101	0.0184962486232156	0.00339059764486926
HOXB5	0.0569238512939183	0.0201358233107825	0.0125591557545931	0.0123859014049533	0.00910038293572391	0.0819614761790854	0.0474097099346913	0.0175299542558681	0.00678852175105404	0.00164518000127889
HOXB7	0.335479390080264	0.101938157652311	0.0362719942359978	0.0399606173540145	0.00321531036280476	0.187246521035437	0.200307072639337	0.0371960578930649	0.0178367073227865	0.00874765460363669
HOXC8	0.186078877973317	0.0553396060926241	0.0235103822360143	0.0255761169311899	0.00614874813442712	0.297540491568543	0.261780039736393	0.0631337981371223	0.0305584609481955	0.00232134580512255
HSF1	0.16303788177287	0.0571577205356966	0.029480522623223	0.0248369307857661	0.00441386174328251	0.203808667660483	0.160665255073785	0.0411875263161474	0.0242639584178261	0.00257200023197823
HSF2	0.0279212079260963	0.0141094624361081	0.00633256171967722	0.00985003966621223	0.00533978099898191	0.0627687783814785	0.052946548833521	0.0196660447686356	0.00965967342450591	0.000144719637571789
HSF4	0.174273944912808	0.105232241670463	0.0254822972616093	0.0302459812941982	0.00342498024068993	0.121660566275873	0.125498542593172	0.0131489772257373	0.00778498024602825	0.00336059337287242
IKZF1	0.132954858967798	0.0455906060217504	0.0135710574790493	0.0205223670410514	0.00461150053301562	0.348396105721837	0.262181860902163	0.0986726319562854	0.0583998761909599	0.0025760492719592
IRF1	0.28591334708048	0.0830942365397455	0.0251566680327601	0.0341519094579734	0.00550614612420652	0.303385175294818	0.255104406307467	0.0622689731008951	0.0422596454587111	0.00732522124309021
IRF2	0.214366084115505	0.0619543011775979	0.0183710584525252	0.0254076578507236	0.00560792698450341	0.36479527086284	0.263910755091559	0.0816788731516974	0.0522838462223936	0.00619012401768149
IRF3	0.288730599048493	0.0881357369173884	0.0267558650036456	0.0330331212399698	0.00489907086220276	0.286451178032406	0.230544919786215	0.0517242166501463	0.0270393352852319	0.00735846673600282
IRF5	0.208627574680629	0.0606844183602868	0.0172572894121488	0.0247297633495918	0.00494317545306433	0.350060845112586	0.294264853418402	0.074028504204357	0.0449911962186845	0.00605141733178804
IRF6	0.0170390450885278	0.00915147033808417	0.00327637233790623	0.00618364907504843	0.0262542029587172	0.13188824839432	0.0578565941889169	0.0152173241068658	0.00724302946323974	0.000636165025726498
IRF7	0.282082237060472	0.0836329772515358	0.0243175605349174	0.033615652077469	0.00518420467503644	0.310085885238492	0.248427289718057	0.0677660107857655	0.0458856700418393	0.00816709169389129
IRF8	0.20815361337058	0.0602893054657463	0.0178102920761628	0.0249467074406177	0.00587057150857773	0.347295125816247	0.270954950853653	0.0979908030650195	0.0673399479965374	0.00628901256203374
IRF9	0.251524832481214	0.0722860097511944	0.0205405058825856	0.0299040679862019	0.005236438744331	0.336763711289328	0.263294464377146	0.0681034749480085	0.043298863101913	0.00616768220685593
JDP2	0.320457133320329	0.09485526547622	0.0290702645085003	0.0389204104522709	0.00497817380848364	0.26297209892243	0.240524411061761	0.0576376848285385	0.0373784107028298	0.00672560531096122
JUN	0.351481389692806	0.100384963429955	0.0305763866719656	0.0412473362746222	0.00476238703562892	0.252547023406598	0.219727433473065	0.0583813595614957	0.0447300742970542	0.00986344839360043
JUNB	0.285872354940948	0.0807686102247699	0.0247349346269538	0.0335729087710147	0.00514997299992737	0.306915213972291	0.250729137753868	0.0646990003515517	0.0460393467140757	0.00738018727765988
